Species,Group,Origin ,Pathway,AccSpeciesID,Growth,Family,Group2,Duration,Max_height_cm,Source_height_data
Salvia lyrata,Forbs,Native,,,Forbs,Lamiaceae,Dicot,Perennial,24,Wilfarhat 2020
Sassafras albidum,Woody ,Native,,,Woody,Lauraceae,Dicot,Perennial,,
Schedonorus arundinaceus,Grasses,Exotic,C3,24150,C3,Poaceae,Monocot,Perennial,65.8,Wilfarhat 2020
Schizachyrium scoparium,Grasses,Native,C4,,C4,Poaceae,Monocot,Perennial,41.6,Wilfarhat 2020
Scutellaria integrifolia,Forbs,Native,,,Forbs,Lamiaceae,Dicot,Perennial,48.7,Wilfarhat 2020
Setaria parviflora,Grasses,Native,C4,,C4,Poaceae,Monocot,Perennial,38.7,Wilfarhat 2020
Sida rhombifolia,Forbs,Native,,,Forbs,Malvaceae,Dicot,Perennial,,
Smilax rotundifolia,Woody ,Native,,,Woody,Smilacaceae,Monocot,Perennial,,
Solanum carolinense ,Forbs,Native,,50655,Forbs,Solanaceae,Dicot,Perennial,57.5,Wilfarhat 2020
Solidago altissima,Forbs,Native,,,Forbs,Asteraceae,Dicot,Perennial,73.7,Wilfarhat 2020
Solidago pinetorum,Forbs,Native,,,Forbs,Asteraceae,Dicot,Perennial,75.7,Wilfarhat 2020
Sorghastrum nutans,Grasses,Native,C4,,C4,Poaceae,Monocot,Perennial,,
Sorghum halepense,Grasses,Exotic,C4,51149,C4,Poaceae,Monocot,Perennial,115.7,Wilfarhat 2020
Steinchisma hians,Grasses,Native,Both,,Both,Poaceae,Monocot,Perennial,,
Symphotrichum pilosum,Forbs,Native,,,Forbs,Asteraceae,Dicot,Perennial,,
Thistle,Woody ,X,,,Forbs,Asteraceae,Dicot,X,,
Toxicodendron radicans,Woody ,Native,,,Woody,Anacardiaceae,Dicot,Perennial,,
Tridens flavus,Grasses,Native,C4,54908,C4,Poaceae,Monocot,Perennial,48,Wilfarhat 2020
Trifolium pratense,Legumes,Native,,,Forbs,Fabaceae,Dicot,Perennial,,
Triodanis perfoliata,Forbs,Native,,,Forbs,Campanulaceae,Dicot,Annual,,
Tripsacum dactyloides,Grasses,Native,C4,55142,C4,Poaceae,Monocot,Perennial,90.8,Brooklynn Rita 
Ulmus alata,Woody ,Native,,,Woody,Ulmaceae,Dicot,Perennial,,
Unk  Dich-bigleaves,Grasses,X,,,Grasses,X,X,X,,
UNK Andro-like,Grasses,X,,,Grasses,X,X,X,,
UNK Aster 1,Woody ,X,,,Woody ,X,X,X,,
Unk Dichanthelium #1,Grasses,X,,,Grasses,X,X,X,,
Unk Dich-longleaves,Grasses,X,,,Grasses,X,X,X,,
UNK Lespedeza,Legumes,X,,,Legumes,X,X,X,,
Urdica sp.,Forbs,X,,,Forbs,X,X,X,,
Verbesina occidentalis,Forbs,Native,,100815,Forbs,Asteraceae,Dicot,Perennial,154.9,Brooklynn Rita 
Veronica sp.,Forbs,X,,,Forbs,Scrophulariaceae,Dicot,X,,
Vetch,Legumes,X,,,Forbs,Cuscutaceae,Dicot,Perennial,,
Vetch-long black pods #1,Legumes,X,,,Legumes,X,X,X,,
Vetch-short brown pods #2 ,Legumes,X,,,Legumes,X,X,X,,
Vitis sp.,Woody ,X,,,Woody,Vitaceae,Dicot,X,,
