Plot,Year,Biomass.category,Strip1.biomass(g),Strip2.biomass(g),Strips.area(m^2),Plot.biomass(g/m^2),Date,prepped.cleaned.by
39,2018,Non-fescue monocots,0,10.15,0.2,50.7500,Nov-18,BMN
39,2018,Non-woody dicots,1.418,13.1,0.2,72.5900,Nov-18,BMN
39,2018,Woody dicots,0,0.0399,0.2,0.1995,Nov-18,BMN
39,2018,Dead,20.44,27.27,0.2,238.5500,Nov-18,BMN
40,2018,Fescue,90.16,78.6,0.2,843.8000,Nov-18,BMN
40,2018,Non-fescue monocots,1.0622,0.6211,0.2,8.4165,Nov-18,BMN
40,2018,Non-woody dicots,0.0035,0,0.2,0.0175,Nov-18,BMN
40,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
40,2018,Dead,48.63,16.75,0.2,326.9000,Nov-18,BMN
41,2018,Fescue,33.26,64.45,0.2,488.5500,Nov-18,BMN
41,2018,Non-fescue monocots,0.6756,4.9776,0.2,28.2660,Nov-18,BMN
41,2018,Non-woody dicots,0.0203,0.0042,0.2,0.1225,Nov-18,BMN
41,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
41,2018,Dead,21.2,39.6,0.2,304.0000,Nov-18,BMN
42,2018,Fescue,86.96,NA,0.1,869.6000,Nov-18,BMN
42,2018,Non-fescue monocots,0,NA,0.1,0.0000,Nov-18,BMN
42,2018,Non-woody dicots,0,NA,0.1,0.0000,Nov-18,BMN
42,2018,Woody dicots,0.0555,NA,0.1,0.5550,Nov-18,BMN
42,2018,Dead,57.86,NA,0.1,578.6000,Nov-18,BMN
43,2018,Fescue,61.54,113.65,0.2,875.9500,Nov-18,BMN
43,2018,Non-fescue monocots,3.6637,3.024,0.2,33.4385,Nov-18,BMN
43,2018,Non-woody dicots,0.0843,0.002,0.2,0.4315,Nov-18,BMN
43,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
43,2018,Dead,48.27,18.4,0.2,333.3500,Nov-18,BMN
44,2018,Fescue,36.15,46.05,0.2,411.0000,Nov-18,BMN
44,2018,Non-fescue monocots,1.7684,6.591,0.2,41.7970,Nov-18,BMN
44,2018,Non-woody dicots,0.0473,0.376,0.2,2.1165,Nov-18,BMN
44,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
44,2018,Dead,22.85,36.24,0.2,295.4500,Nov-18,BMN
45,2018,Fescue,110.91,76.25,0.2,935.8000,Nov-18,BMN
45,2018,Non-fescue monocots,0,4.3831,0.2,21.9155,Nov-18,BMN
45,2018,Non-woody dicots,0,0,0.2,0.0000,Nov-18,BMN
45,2018,Woody dicots,0,0.0725,0.2,0.3625,Nov-18,BMN
45,2018,Dead,5.5843,5.8606,0.2,57.2245,Nov-18,BMN
46,2018,Fescue,36.02,48.94,0.2,424.8000,Nov-18,BMN
46,2018,Non-fescue monocots,0.8113,9.81,0.2,53.1065,Nov-18,BMN
46,2018,Non-woody dicots,2.1077,1.4834,0.2,17.9555,Nov-18,BMN
46,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
46,2018,Dead,29.88,19.54,0.2,247.1000,Nov-18,BMN
47,2018,Fescue,21.88,NA,0.1,218.8000,Nov-18,BMN
47,2018,Non-fescue monocots,2.4266,NA,0.1,24.2660,Nov-18,BMN
47,2018,Non-woody dicots,0,NA,0.1,0.0000,Nov-18,BMN
47,2018,Woody dicots,0,NA,0.1,0.0000,Nov-18,BMN
47,2018,Dead,46.87,NA,0.1,468.7000,Nov-18,BMN
48,2018,Fescue,51.39,50,0.2,506.9500,Nov-18,BMN
48,2018,Non-fescue monocots,1.727,3.9249,0.2,28.2595,Nov-18,BMN
48,2018,Non-woody dicots,0.1007,0.1266,0.2,1.1365,Nov-18,BMN
48,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
48,2018,Dead,65.82,53.87,0.2,598.4500,Nov-18,BMN
49,2018,Fescue,63.46,99.6,0.2,815.3000,Nov-18,BMN
49,2018,Non-fescue monocots,4.6488,7.5252,0.2,60.8700,Nov-18,BMN
49,2018,Non-woody dicots,0.0012,0.0914,0.2,0.4630,Nov-18,BMN
49,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
49,2018,Dead,10.93,9.1297,0.2,100.2985,Nov-18,BMN
50,2018,Fescue,82.35,115.79,0.2,990.7000,Nov-18,BMN
50,2018,Non-fescue monocots,2.7533,0.7337,0.2,17.4350,Nov-18,BMN
50,2018,Non-woody dicots,0,0,0.2,0.0000,Nov-18,BMN
50,2018,Woody dicots,1.5477,0,0.2,7.7385,Nov-18,BMN
50,2018,Dead,6.1191,11.03,0.2,85.7455,Nov-18,BMN
51,2018,Fescue,61.37,55.62,0.2,584.9500,Nov-18,BMN
51,2018,Non-fescue monocots,0.823,1.9,0.2,13.6150,Nov-18,BMN
51,2018,Non-woody dicots,0.016,1.438,0.2,7.2700,Nov-18,BMN
51,2018,Woody dicots,0,0.0822,0.2,0.4110,Nov-18,BMN
51,2018,Dead,18.74,18.05,0.2,183.9500,Nov-18,BMN
52,2018,Fescue,73.69,54.12,0.2,639.0500,Nov-18,BMN
52,2018,Non-fescue monocots,11.34,5.675,0.2,85.0750,Nov-18,BMN
52,2018,Non-woody dicots,0.0034,0,0.2,0.0170,Nov-18,BMN
52,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
52,2018,Dead,26.13,13.8,0.2,199.6500,Nov-18,BMN
53,2018,Fescue,31.19,66.02,0.2,486.0500,Nov-18,BMN
53,2018,Non-fescue monocots,5.0874,0.7675,0.2,29.2745,Nov-18,BMN
53,2018,Non-woody dicots,6.053,1.1899,0.2,36.2145,Nov-18,BMN
53,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
53,2018,Dead,51.78,14.55,0.2,331.6500,Nov-18,BMN
54,2018,Fescue,30,47.05,0.2,385.2500,Nov-18,BMN
54,2018,Non-fescue monocots,6.7,0.2478,0.2,34.7390,Nov-18,BMN
54,2018,Non-woody dicots,0.0086,0.0004,0.2,0.0450,Nov-18,BMN
54,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
54,2018,Dead,34.37,6.76,0.2,205.6500,Nov-18,BMN
55,2018,Fescue,48.98,52.54,0.2,507.6000,Nov-18,BMN
55,2018,Non-fescue monocots,0.0517,2.0023,0.2,10.2700,Nov-18,BMN
55,2018,Non-woody dicots,0.2353,0.0072,0.2,1.2125,Nov-18,BMN
55,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
55,2018,Dead,16.2,14.27,0.2,152.3500,Nov-18,BMN
56,2018,Fescue,51.13,45.47,0.2,483.0000,Nov-18,BMN
56,2018,Non-fescue monocots,9.67,7.51,0.2,85.9000,Nov-18,BMN
56,2018,Non-woody dicots,0.0007,0.0742,0.2,0.3745,Nov-18,BMN
56,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
56,2018,Dead,32.74,22.77,0.2,277.5500,Nov-18,BMN
57,2018,Fescue,115.45,34.89,0.2,751.7000,Nov-18,BMN
57,2018,Non-fescue monocots,0,1.6866,0.2,8.4330,Nov-18,BMN
57,2018,Non-woody dicots,0.0006,0.0237,0.2,0.1215,Nov-18,BMN
57,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
57,2018,Dead,94.88,14.11,0.2,544.9500,Nov-18,BMN
58,2018,Fescue,53.66,78.03,0.2,658.4500,Nov-18,BMN
58,2018,Non-fescue monocots,2.8006,0.0407,0.2,14.2065,Nov-18,BMN
58,2018,Non-woody dicots,32.86,0.5878,0.2,167.2390,Nov-18,BMN
58,2018,Woody dicots,13.55,0.7359,0.2,71.4295,Nov-18,BMN
58,2018,Dead,13.41,13.62,0.2,135.1500,Nov-18,BMN
59,2018,Fescue,116.29,76.24,0.2,962.6500,Nov-18,BMN
59,2018,Non-fescue monocots,0.1167,0.0833,0.2,1.0000,Nov-18,BMN
59,2018,Non-woody dicots,0,0.1386,0.2,0.6930,Nov-18,BMN
59,2018,Woody dicots,0.055,0,0.2,0.2750,Nov-18,BMN
59,2018,Dead,13.6,24.91,0.2,192.5500,Nov-18,BMN
60,2018,Fescue,74.56,59.02,0.2,667.9000,Nov-18,BMN
60,2018,Non-fescue monocots,3.286,0,0.2,16.4300,Nov-18,BMN
60,2018,Non-woody dicots,0.0024,50.63,0.2,253.1620,Nov-18,BMN
60,2018,Woody dicots,0.7482,0.5224,0.2,6.3530,Nov-18,BMN
60,2018,Dead,13.82,35.99,0.2,249.0500,Nov-18,BMN
61,2018,Fescue,68.19,43.02,0.2,556.0500,Nov-18,BMN
61,2018,Non-fescue monocots,0.4922,9.02,0.2,47.5610,Nov-18,BMN
61,2018,Non-woody dicots,14.66,9.02,0.2,118.4000,Nov-18,BMN
61,2018,Woody dicots,0,0.176,0.2,0.8800,Nov-18,BMN
61,2018,Dead,47.15,32.43,0.2,397.9000,Nov-18,BMN
62,2018,Fescue,63.11,23.98,0.2,435.4500,Nov-18,BMN
62,2018,Non-fescue monocots,4.2353,2.6766,0.2,34.5595,Nov-18,BMN
62,2018,Non-woody dicots,6.6812,0,0.2,33.4060,Nov-18,BMN
62,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
62,2018,Dead,23.26,24.03,0.2,236.4500,Nov-18,BMN
63,2018,Fescue,52.8,60.29,0.2,565.4500,Nov-18,BMN
63,2018,Non-fescue monocots,0.3229,5.3144,0.2,28.1865,Nov-18,BMN
63,2018,Non-woody dicots,0.4011,0,0.2,2.0055,Nov-18,BMN
63,2018,Woody dicots,0,0,0.2,0.0000,Nov-18,BMN
63,2018,Dead,19.12,37.17,0.2,281.4500,Nov-18,BMN
64,2018,Fescue,56.98,28.13,0.2,425.5500,Nov-18,BMN
64,2018,Non-fescue monocots,0,0,0.2,0.0000,Nov-18,BMN
64,2018,Non-woody dicots,0,0,0.2,0.0000,Nov-18,BMN
64,2018,Woody dicots,0.4491,30.93,0.2,156.8955,Nov-18,BMN
64,2018,Dead,9.91,29.67,0.2,197.9000,Nov-18,BMN
