"","Year","Month","Treatment","Plot","parasite","prevalence_among_plants"
"120","17","May","CR_P","26","Rhiz",0.0408163265306122
"121","17","May","CR_P","28","Anthracnose",0.727272727272727
"122","17","May","CR_P","28","CRust",0
"123","17","May","CR_P","28","Rhiz",0.0227272727272727
"124","17","May","CR_P","34","Anthracnose",0.7
"125","17","May","CR_P","34","CRust",0
"126","17","May","CR_P","34","Rhiz",0
"127","17","May","CR_P","35","Anthracnose",0.744186046511628
"128","17","May","CR_P","35","CRust",0
"129","17","May","CR_P","35","Rhiz",0
"130","17","May","CR_P","37","Anthracnose",0.736842105263158
"131","17","May","CR_P","37","CRust",0
"132","17","May","CR_P","37","Rhiz",0
"133","17","May","CR_P","39","Anthracnose",0.702127659574468
"134","17","May","CR_P","39","CRust",0
"135","17","May","CR_P","39","Rhiz",0
"136","17","May","CR_P","47","Anthracnose",0.8
"137","17","May","CR_P","47","CRust",0
"138","17","May","CR_P","47","Rhiz",0
"139","17","May","CR_P","51","Anthracnose",0.636363636363636
"140","17","May","CR_P","51","CRust",0
"141","17","May","CR_P","51","Rhiz",0.0227272727272727
"142","17","May","CR_P","61","Anthracnose",0.780487804878049
"143","17","May","CR_P","61","CRust",0
"144","17","May","CR_P","61","Rhiz",0.0731707317073171
"145","17","May","CRP","3","Anthracnose",0.829268292682927
"146","17","May","CRP","3","CRust",0
"147","17","May","CRP","3","Rhiz",0
"148","17","May","CRP","5","Anthracnose",0.714285714285714
"149","17","May","CRP","5","CRust",0
"150","17","May","CRP","5","Rhiz",0
"151","17","May","CRP","8","Anthracnose",0.723404255319149
"152","17","May","CRP","8","CRust",0.0212765957446809
"153","17","May","CRP","8","Rhiz",0.0212765957446809
"154","17","May","CRP","9","Anthracnose",0.777777777777778
"155","17","May","CRP","9","CRust",0.0222222222222222
"156","17","May","CRP","9","Rhiz",0
"157","17","May","CRP","24","Anthracnose",0.733333333333333
"158","17","May","CRP","24","CRust",0.0222222222222222
"159","17","May","CRP","24","Rhiz",0.0222222222222222
"160","17","May","CRP","27","Anthracnose",0.674418604651163
"161","17","May","CRP","27","CRust",0
"162","17","May","CRP","27","Rhiz",0.0232558139534884
"163","17","May","CRP","32","Anthracnose",0.680851063829787
"164","17","May","CRP","32","CRust",0
"165","17","May","CRP","32","Rhiz",0
"166","17","May","CRP","33","Anthracnose",0.622222222222222
"167","17","May","CRP","33","CRust",0
"168","17","May","CRP","33","Rhiz",0.0222222222222222
"169","17","May","CRP","41","Anthracnose",0.651162790697674
"170","17","May","CRP","41","CRust",0
"171","17","May","CRP","41","Rhiz",0
"172","17","May","CRP","42","Anthracnose",0.631578947368421
"173","17","May","CRP","42","CRust",0
"174","17","May","CRP","42","Rhiz",0
"175","17","May","CRP","45","Anthracnose",0.675
"176","17","May","CRP","45","CRust",0
"177","17","May","CRP","45","Rhiz",0
"178","17","May","CRP","48","Anthracnose",0.720930232558139
"179","17","May","CRP","48","CRust",0
"180","17","May","CRP","48","Rhiz",0
"181","17","May","CRP","49","Anthracnose",0.697674418604651
"182","17","May","CRP","49","CRust",0
"183","17","May","CRP","49","Rhiz",0
"184","17","May","CRP","58","Anthracnose",0.75609756097561
"185","17","May","CRP","58","CRust",0
"186","17","May","CRP","58","Rhiz",0.024390243902439
"187","17","May","CRP","60","Anthracnose",0.711111111111111
"188","17","May","CRP","60","CRust",0
"189","17","May","CRP","60","Rhiz",0.0222222222222222
"190","17","May","CRP","64","Anthracnose",0.682926829268293
"191","17","May","CRP","64","CRust",0
"192","17","May","CRP","64","Rhiz",0.024390243902439
"193","17","June","Always_sprayed","4","Anthracnose",0.456521739130435
"194","17","June","Always_sprayed","4","CRust",0.0217391304347826
"195","17","June","Always_sprayed","4","Rhiz",0.0434782608695652
"196","17","June","Always_sprayed","10","Anthracnose",0.557692307692308
"197","17","June","Always_sprayed","10","CRust",0
"198","17","June","Always_sprayed","10","Rhiz",0.0192307692307692
"199","17","June","Always_sprayed","11","Anthracnose",0.446428571428571
"200","17","June","Always_sprayed","11","CRust",0
"201","17","June","Always_sprayed","11","Rhiz",0
"202","17","June","Always_sprayed","19","Anthracnose",0.555555555555556
"203","17","June","Always_sprayed","19","CRust",0
"204","17","June","Always_sprayed","19","Rhiz",0
"205","17","June","Always_sprayed","21","Anthracnose",0.545454545454545
"206","17","June","Always_sprayed","21","CRust",0.0227272727272727
"207","17","June","Always_sprayed","21","Rhiz",0.0227272727272727
"208","17","June","Always_sprayed","22","Anthracnose",0.466666666666667
"209","17","June","Always_sprayed","22","CRust",0.0222222222222222
"210","17","June","Always_sprayed","22","Rhiz",0.0222222222222222
"211","17","June","Always_sprayed","31","Anthracnose",0.490566037735849
"212","17","June","Always_sprayed","31","CRust",0
"213","17","June","Always_sprayed","31","Rhiz",0
"214","17","June","Always_sprayed","36","Anthracnose",0.551020408163265
"215","17","June","Always_sprayed","36","CRust",0
"216","17","June","Always_sprayed","36","Rhiz",0
"217","17","June","Always_sprayed","40","Anthracnose",0.6
"218","17","June","Always_sprayed","40","CRust",0.12
"219","17","June","Always_sprayed","40","Rhiz",0
"220","17","June","Always_sprayed","43","Anthracnose",0.585365853658537
"221","17","June","Always_sprayed","43","CRust",0.024390243902439
"222","17","June","Always_sprayed","43","Rhiz",0.0487804878048781
"223","17","June","Always_sprayed","50","Anthracnose",0.508771929824561
"224","17","June","Always_sprayed","50","CRust",0.0526315789473684
"225","17","June","Always_sprayed","50","Rhiz",0.0526315789473684
"226","17","June","Always_sprayed","52","Anthracnose",0.576923076923077
"227","17","June","Always_sprayed","52","CRust",0.115384615384615
"228","17","June","Always_sprayed","52","Rhiz",0.0576923076923077
"229","17","June","Always_sprayed","53","Anthracnose",0.566037735849057
"230","17","June","Always_sprayed","53","CRust",0.150943396226415
"231","17","June","Always_sprayed","53","Rhiz",0
"232","17","June","Always_sprayed","56","Anthracnose",0.517857142857143
"233","17","June","Always_sprayed","56","CRust",0.0892857142857143
"234","17","June","Always_sprayed","56","Rhiz",0.0535714285714286
"235","17","June","Always_sprayed","57","Anthracnose",0.648148148148148
"236","17","June","Always_sprayed","57","CRust",0.0555555555555556
"237","17","June","Always_sprayed","57","Rhiz",0
"238","17","June","Always_sprayed","59","Anthracnose",0.615384615384615
"239","17","June","Always_sprayed","59","CRust",0.230769230769231
"240","17","June","Always_sprayed","59","Rhiz",0.0192307692307692
"241","17","June","Control","1","Anthracnose",0.659574468085106
"242","17","June","Control","1","CRust",0.0212765957446809
"243","17","June","Control","1","Rhiz",0
"244","17","June","Control","7","Anthracnose",0.612244897959184
"245","17","June","Control","7","CRust",0.0408163265306122
"246","17","June","Control","7","Rhiz",0.0408163265306122
"247","17","June","Control","12","Anthracnose",0.62962962962963
"248","17","June","Control","12","CRust",0.0185185185185185
"249","17","June","Control","12","Rhiz",0.037037037037037
"250","17","June","Control","13","Anthracnose",0.641509433962264
"251","17","June","Control","13","CRust",0.0754716981132075
"252","17","June","Control","13","Rhiz",0.0188679245283019
"253","17","June","Control","16","Anthracnose",0.692307692307692
"254","17","June","Control","16","CRust",0
"255","17","June","Control","16","Rhiz",0.0384615384615385
"256","17","June","Control","20","Anthracnose",0.607843137254902
"257","17","June","Control","20","CRust",0.0196078431372549
"258","17","June","Control","20","Rhiz",0.0980392156862745
"259","17","June","Control","23","Anthracnose",0.692307692307692
"260","17","June","Control","23","CRust",0.0192307692307692
"261","17","June","Control","23","Rhiz",0.0384615384615385
"262","17","June","Control","29","Anthracnose",0.634615384615385
"263","17","June","Control","29","CRust",0
"264","17","June","Control","29","Rhiz",0
"265","17","June","Control","30","Anthracnose",0.702127659574468
"266","17","June","Control","30","CRust",0.106382978723404
"267","17","June","Control","30","Rhiz",0.0425531914893617
"268","17","June","Control","38","Anthracnose",0.591836734693878
"269","17","June","Control","38","CRust",0
"270","17","June","Control","38","Rhiz",0
"271","17","June","Control","44","Anthracnose",0.622222222222222
"272","17","June","Control","44","CRust",0
"273","17","June","Control","44","Rhiz",0
"274","17","June","Control","46","Anthracnose",0.625
"275","17","June","Control","46","CRust",0
"276","17","June","Control","46","Rhiz",0.0208333333333333
"277","17","June","Control","54","Anthracnose",0.609756097560976
"278","17","June","Control","54","CRust",0.195121951219512
"279","17","June","Control","54","Rhiz",0.024390243902439
"280","17","June","Control","55","Anthracnose",0.673469387755102
"281","17","June","Control","55","CRust",0.142857142857143
"282","17","June","Control","55","Rhiz",0.0408163265306122
"283","17","June","Control","62","Anthracnose",0.5
"284","17","June","Control","62","CRust",0
"285","17","June","Control","62","Rhiz",0
"286","17","June","Control","63","Anthracnose",0.558139534883721
"287","17","June","Control","63","CRust",0
"288","17","June","Control","63","Rhiz",0
"289","17","June","CR_P","2","Anthracnose",0.489795918367347
"290","17","June","CR_P","2","CRust",0
"291","17","June","CR_P","2","Rhiz",0
"292","17","June","CR_P","6","Anthracnose",0.537037037037037
"293","17","June","CR_P","6","CRust",0.0555555555555556
"294","17","June","CR_P","6","Rhiz",0
"295","17","June","CR_P","14","Anthracnose",0.588235294117647
"296","17","June","CR_P","14","CRust",0
"297","17","June","CR_P","14","Rhiz",0
"298","17","June","CR_P","15","Anthracnose",0.509803921568627
"299","17","June","CR_P","15","CRust",0
"300","17","June","CR_P","15","Rhiz",0
"301","17","June","CR_P","17","Anthracnose",0.470588235294118
"302","17","June","CR_P","17","CRust",0
"303","17","June","CR_P","17","Rhiz",0
"304","17","June","CR_P","18","Anthracnose",0.452830188679245
"305","17","June","CR_P","18","CRust",0
"306","17","June","CR_P","18","Rhiz",0
"307","17","June","CR_P","25","Anthracnose",0.596153846153846
"308","17","June","CR_P","25","CRust",0.0192307692307692
"309","17","June","CR_P","25","Rhiz",0
"310","17","June","CR_P","26","Anthracnose",0.528301886792453
"311","17","June","CR_P","26","CRust",0.0377358490566038
"312","17","June","CR_P","26","Rhiz",0
"313","17","June","CR_P","28","Anthracnose",0.480769230769231
"314","17","June","CR_P","28","CRust",0
"315","17","June","CR_P","28","Rhiz",0.0576923076923077
"316","17","June","CR_P","34","Anthracnose",0.611111111111111
"317","17","June","CR_P","34","CRust",0.037037037037037
"318","17","June","CR_P","34","Rhiz",0.0185185185185185
"319","17","June","CR_P","35","Anthracnose",0.425531914893617
"320","17","June","CR_P","35","CRust",0
"321","17","June","CR_P","35","Rhiz",0
"322","17","June","CR_P","37","Anthracnose",0.625
"323","17","June","CR_P","37","CRust",0.145833333333333
"324","17","June","CR_P","37","Rhiz",0.0208333333333333
"325","17","June","CR_P","39","Anthracnose",0.563636363636364
"326","17","June","CR_P","39","CRust",0.0363636363636364
"327","17","June","CR_P","39","Rhiz",0.0181818181818182
"328","17","June","CR_P","47","Anthracnose",0.533333333333333
"329","17","June","CR_P","47","CRust",0.0222222222222222
"330","17","June","CR_P","47","Rhiz",0.0222222222222222
"331","17","June","CR_P","51","Anthracnose",0.62
"332","17","June","CR_P","51","CRust",0.1
"333","17","June","CR_P","51","Rhiz",0
"334","17","June","CR_P","61","Anthracnose",0.404255319148936
"335","17","June","CR_P","61","CRust",0
"336","17","June","CR_P","61","Rhiz",0
"337","17","June","CRP","3","Anthracnose",0.511111111111111
"338","17","June","CRP","3","CRust",0
"339","17","June","CRP","3","Rhiz",0
"340","17","June","CRP","5","Anthracnose",0.545454545454545
"341","17","June","CRP","5","CRust",0.0545454545454545
"342","17","June","CRP","5","Rhiz",0
"343","17","June","CRP","8","Anthracnose",0.517857142857143
"344","17","June","CRP","8","CRust",0
"345","17","June","CRP","8","Rhiz",0
"346","17","June","CRP","9","Anthracnose",0.538461538461538
"347","17","June","CRP","9","CRust",0
"348","17","June","CRP","9","Rhiz",0.0576923076923077
"349","17","June","CRP","24","Anthracnose",0.536585365853659
"350","17","June","CRP","24","CRust",0
"351","17","June","CRP","24","Rhiz",0
"352","17","June","CRP","27","Anthracnose",0.592592592592593
"353","17","June","CRP","27","CRust",0
"354","17","June","CRP","27","Rhiz",0
"355","17","June","CRP","32","Anthracnose",0.607142857142857
"356","17","June","CRP","32","CRust",0
"357","17","June","CRP","32","Rhiz",0
"358","17","June","CRP","33","Anthracnose",0.630434782608696
"359","17","June","CRP","33","CRust",0.0217391304347826
"360","17","June","CRP","33","Rhiz",0
"361","17","June","CRP","41","Anthracnose",0.596153846153846
"362","17","June","CRP","41","CRust",0.0769230769230769
"363","17","June","CRP","41","Rhiz",0.0192307692307692
"364","17","June","CRP","42","Anthracnose",0.531914893617021
"365","17","June","CRP","42","CRust",0
"366","17","June","CRP","42","Rhiz",0
"367","17","June","CRP","45","Anthracnose",0.604166666666667
"368","17","June","CRP","45","CRust",0.0416666666666667
"369","17","June","CRP","45","Rhiz",0
"370","17","June","CRP","48","Anthracnose",0.511111111111111
"371","17","June","CRP","48","CRust",0.0666666666666667
"372","17","June","CRP","48","Rhiz",0.0888888888888889
"373","17","June","CRP","49","Anthracnose",0.576923076923077
"374","17","June","CRP","49","CRust",0.0192307692307692
"375","17","June","CRP","49","Rhiz",0
"376","17","June","CRP","58","Anthracnose",0.56
"377","17","June","CRP","58","CRust",0.16
"378","17","June","CRP","58","Rhiz",0.04
"379","17","June","CRP","60","Anthracnose",0.607142857142857
"380","17","June","CRP","60","CRust",0.0535714285714286
"381","17","June","CRP","60","Rhiz",0.0178571428571429
"382","17","June","CRP","64","Anthracnose",0.363636363636364
"383","17","June","CRP","64","CRust",0
"384","17","June","CRP","64","Rhiz",0
"385","17","July","Always_sprayed","4","Anthracnose",0.4
"386","17","July","Always_sprayed","4","CRust",0
"387","17","July","Always_sprayed","4","Rhiz",0.18
"388","17","July","Always_sprayed","10","Anthracnose",0.518518518518518
"389","17","July","Always_sprayed","10","CRust",0.037037037037037
"390","17","July","Always_sprayed","10","Rhiz",0
"391","17","July","Always_sprayed","11","Anthracnose",0.547169811320755
"392","17","July","Always_sprayed","11","CRust",0
"393","17","July","Always_sprayed","11","Rhiz",0.0188679245283019
"394","17","July","Always_sprayed","19","Anthracnose",0.2
"395","17","July","Always_sprayed","19","CRust",0.0363636363636364
"396","17","July","Always_sprayed","19","Rhiz",0.109090909090909
"397","17","July","Always_sprayed","21","Anthracnose",0.218181818181818
"398","17","July","Always_sprayed","21","CRust",0.0181818181818182
"399","17","July","Always_sprayed","21","Rhiz",0.181818181818182
"400","17","July","Always_sprayed","22","Anthracnose",0.230769230769231
"401","17","July","Always_sprayed","22","CRust",0
"402","17","July","Always_sprayed","22","Rhiz",0.0961538461538461
"403","17","July","Always_sprayed","31","Anthracnose",0.466666666666667
"404","17","July","Always_sprayed","31","CRust",0.0166666666666667
"405","17","July","Always_sprayed","31","Rhiz",0.0666666666666667
"406","17","July","Always_sprayed","36","Anthracnose",0.508474576271186
"407","17","July","Always_sprayed","36","CRust",0
"408","17","July","Always_sprayed","36","Rhiz",0.169491525423729
"409","17","July","Always_sprayed","40","Anthracnose",0.482142857142857
"410","17","July","Always_sprayed","40","CRust",0.0178571428571429
"411","17","July","Always_sprayed","40","Rhiz",0.0535714285714286
"412","17","July","Always_sprayed","43","Anthracnose",0.4
"413","17","July","Always_sprayed","43","CRust",0
"414","17","July","Always_sprayed","43","Rhiz",0.163636363636364
"415","17","July","Always_sprayed","50","Anthracnose",0.566037735849057
"416","17","July","Always_sprayed","50","CRust",0
"417","17","July","Always_sprayed","50","Rhiz",0.0943396226415094
"418","17","July","Always_sprayed","52","Anthracnose",0.548387096774194
"419","17","July","Always_sprayed","52","CRust",0
"420","17","July","Always_sprayed","52","Rhiz",0.0161290322580645
"421","17","July","Always_sprayed","53","Anthracnose",0.576271186440678
"422","17","July","Always_sprayed","53","CRust",0.0338983050847458
"423","17","July","Always_sprayed","53","Rhiz",0.0677966101694915
"424","17","July","Always_sprayed","56","Anthracnose",0.566037735849057
"425","17","July","Always_sprayed","56","CRust",0
"426","17","July","Always_sprayed","56","Rhiz",0.0566037735849057
"427","17","July","Always_sprayed","57","Anthracnose",0.648148148148148
"428","17","July","Always_sprayed","57","CRust",0.0185185185185185
"429","17","July","Always_sprayed","57","Rhiz",0
"430","17","July","Always_sprayed","59","Anthracnose",0.537037037037037
"431","17","July","Always_sprayed","59","CRust",0
"432","17","July","Always_sprayed","59","Rhiz",0.037037037037037
"433","17","July","Control","1","Anthracnose",0.615384615384615
"434","17","July","Control","1","CRust",0.173076923076923
"435","17","July","Control","1","Rhiz",0.538461538461538
"436","17","July","Control","7","Anthracnose",0.509803921568627
"437","17","July","Control","7","CRust",0.215686274509804
"438","17","July","Control","7","Rhiz",0.333333333333333
"439","17","July","Control","12","Anthracnose",0.759259259259259
"440","17","July","Control","12","CRust",0.222222222222222
"441","17","July","Control","12","Rhiz",0.0740740740740741
"442","17","July","Control","13","Anthracnose",0.345454545454545
"443","17","July","Control","13","CRust",0.236363636363636
"444","17","July","Control","13","Rhiz",0.436363636363636
"445","17","July","Control","16","Anthracnose",0.685185185185185
"446","17","July","Control","16","CRust",0.111111111111111
"447","17","July","Control","16","Rhiz",0.0740740740740741
"448","17","July","Control","20","Anthracnose",0.296296296296296
"449","17","July","Control","20","CRust",0.166666666666667
"450","17","July","Control","20","Rhiz",0.444444444444444
"451","17","July","Control","23","Anthracnose",0.456140350877193
"452","17","July","Control","23","CRust",0.105263157894737
"453","17","July","Control","23","Rhiz",0.315789473684211
"454","17","July","Control","29","Anthracnose",0.736842105263158
"455","17","July","Control","29","CRust",0.12280701754386
"456","17","July","Control","29","Rhiz",0.0701754385964912
"457","17","July","Control","30","Anthracnose",0.610169491525424
"458","17","July","Control","30","CRust",0.23728813559322
"459","17","July","Control","30","Rhiz",0.220338983050847
"460","17","July","Control","38","Anthracnose",0.75
"461","17","July","Control","38","CRust",0.0357142857142857
"462","17","July","Control","38","Rhiz",0.142857142857143
"463","17","July","Control","44","Anthracnose",0.614035087719298
"464","17","July","Control","44","CRust",0
"465","17","July","Control","44","Rhiz",0.0701754385964912
"466","17","July","Control","46","Anthracnose",0.754716981132075
"467","17","July","Control","46","CRust",0.0188679245283019
"468","17","July","Control","46","Rhiz",0.188679245283019
"469","17","July","Control","54","Anthracnose",0.736842105263158
"470","17","July","Control","54","CRust",0.175438596491228
"471","17","July","Control","54","Rhiz",0.12280701754386
"472","17","July","Control","55","Anthracnose",0.724137931034483
"473","17","July","Control","55","CRust",0.0689655172413793
"474","17","July","Control","55","Rhiz",0.155172413793103
"475","17","July","Control","62","Anthracnose",0.724137931034483
"476","17","July","Control","62","CRust",0.0862068965517241
"477","17","July","Control","62","Rhiz",0.0862068965517241
"478","17","July","Control","63","Anthracnose",0.722222222222222
"479","17","July","Control","63","CRust",0.277777777777778
"480","17","July","Control","63","Rhiz",0.12962962962963
"481","17","July","CR_P","2","Anthracnose",0.306122448979592
"482","17","July","CR_P","2","CRust",0
"483","17","July","CR_P","2","Rhiz",0.244897959183673
"484","17","July","CR_P","6","Anthracnose",0.411764705882353
"485","17","July","CR_P","6","CRust",0.0196078431372549
"486","17","July","CR_P","6","Rhiz",0.176470588235294
"487","17","July","CR_P","14","Anthracnose",0.547169811320755
"488","17","July","CR_P","14","CRust",0
"489","17","July","CR_P","14","Rhiz",0
"490","17","July","CR_P","15","Anthracnose",0.433962264150943
"491","17","July","CR_P","15","CRust",0
"492","17","July","CR_P","15","Rhiz",0
"493","17","July","CR_P","17","Anthracnose",0.481481481481481
"494","17","July","CR_P","17","CRust",0.0185185185185185
"495","17","July","CR_P","17","Rhiz",0
"496","17","July","CR_P","18","Anthracnose",0.115384615384615
"497","17","July","CR_P","18","CRust",0.0384615384615385
"498","17","July","CR_P","18","Rhiz",0.25
"499","17","July","CR_P","25","Anthracnose",0.676470588235294
"500","17","July","CR_P","25","CRust",0
"501","17","July","CR_P","25","Rhiz",0
"502","17","July","CR_P","26","Anthracnose",0.672131147540984
"503","17","July","CR_P","26","CRust",0
"504","17","July","CR_P","26","Rhiz",0
"505","17","July","CR_P","28","Anthracnose",0.587301587301587
"506","17","July","CR_P","28","CRust",0
"507","17","July","CR_P","28","Rhiz",0
"508","17","July","CR_P","34","Anthracnose",0
"509","17","July","CR_P","34","CRust",0.673076923076923
"510","17","July","CR_P","34","Rhiz",0
"511","17","July","CR_P","35","Anthracnose",0.547169811320755
"512","17","July","CR_P","35","CRust",0
"513","17","July","CR_P","35","Rhiz",0.0754716981132075
"514","17","July","CR_P","37","Anthracnose",0.603448275862069
"515","17","July","CR_P","37","CRust",0.0172413793103448
"516","17","July","CR_P","37","Rhiz",0.0862068965517241
"517","17","July","CR_P","39","Anthracnose",0.471698113207547
"518","17","July","CR_P","39","CRust",0
"519","17","July","CR_P","39","Rhiz",0.113207547169811
"520","17","July","CR_P","47","Anthracnose",0.471698113207547
"521","17","July","CR_P","47","CRust",0.0188679245283019
"522","17","July","CR_P","47","Rhiz",0.0943396226415094
"523","17","July","CR_P","51","Anthracnose",0.491525423728814
"524","17","July","CR_P","51","CRust",0
"525","17","July","CR_P","51","Rhiz",0.0508474576271186
"526","17","July","CR_P","61","Anthracnose",0
"527","17","July","CR_P","61","CRust",0
"528","17","July","CR_P","61","Rhiz",0
"529","17","July","CRP","3","Anthracnose",0.36
"530","17","July","CRP","3","CRust",0.02
"531","17","July","CRP","3","Rhiz",0.42
"532","17","July","CRP","5","Anthracnose",0.254901960784314
"533","17","July","CRP","5","CRust",0.0196078431372549
"534","17","July","CRP","5","Rhiz",0.156862745098039
"535","17","July","CRP","8","Anthracnose",0.354166666666667
"536","17","July","CRP","8","CRust",0.0208333333333333
"537","17","July","CRP","8","Rhiz",0.229166666666667
"538","17","July","CRP","9","Anthracnose",0.36
"539","17","July","CRP","9","CRust",0.02
"540","17","July","CRP","9","Rhiz",0.14
"541","17","July","CRP","24","Anthracnose",0.236363636363636
"542","17","July","CRP","24","CRust",0
